store_id,product_id
1,1109
1,888
1,1051
1,60
1,186
1,711
1,596
1,348
1,761
1,895
1,137
1,793
1,973
1,479
1,799
1,989
1,98
1,229
1,406
1,56
1,201
1,1168
1,608
1,242
1,347
1,232
1,593
1,945
1,237
1,109
1,1147
1,295
1,1155
1,33
1,81
1,826
1,222
1,382
1,198
1,1226
1,1078
1,1075
1,145
1,238
1,858
1,610
1,722
1,1228
1,384
1,726
1,1048
1,488
1,676
1,27
1,926
1,138
1,648
1,125
1,234
1,953
1,105
1,469
1,320
1,149
1,244
1,1062
1,235
1,135
1,552
1,903
1,1178
1,54
1,1070
1,780
1,636
1,475
1,1227
1,861
1,779
1,768
1,1179
1,191
1,409
1,516
1,1169
1,333
1,741
1,337
1,55
1,1198
1,1067
1,947
1,161
1,749
1,558
1,873
1,968
1,739
1,70
1,152
1,122
1,37
1,887
1,912
1,143
1,729
1,625
1,666
1,206
1,96
1,898
1,756
1,1172
1,473
1,941
1,602
1,765
1,966
1,929
1,1201
1,1085
1,601
1,996
1,652
1,525
1,854
1,976
1,1216
1,510
1,154
1,1074
1,541
1,328
1,578
1,351
1,251
1,847
1,791
1,839
1,696
1,294
1,724
1,487
1,1096
1,88
1,375
1,1089
1,494
1,502
1,555
1,139
1,419
1,460
1,932
1,785
1,733
1,443
1,628
1,1093
1,1000
1,1007
1,281
1,841
1,518
1,370
1,982
1,123
1,565
1,913
1,705
1,1115
1,1038
1,879
1,1055
1,857
1,789
1,600
1,36
1,939
1,51
1,923
1,436
1,211
1,986
1,1066
1,356
1,404
1,829
1,580
1,796
1,910
1,697
1,721
1,762
1,310
1,712
1,1027
1,34
1,1100
1,1205
1,205
1,260
1,508
1,263
1,117
1,254
1,661
1,683
1,801
1,317
1,437
1,781
1,985
1,519
1,285
1,32
1,454
1,975
1,298
1,689
1,808
1,456
1,915
1,48
1,467
1,420
1,1024
1,148
1,1188
1,702
1,243
1,1180
1,43
1,638
1,463
1,656
1,1140
1,68
1,607
1,1036
1,90
1,716
1,616
1,1033
1,465
1,116
1,300
1,838
1,1146
1,874
1,978
1,630
1,1029
1,612
1,1003
1,10
1,816
1,42
1,776
1,800
1,728
1,381
1,13
1,129
1,787
1,461
1,703
1,1028
1,1232
1,1059
1,807
1,819
1,566
1,740
1,701
1,870
1,674
1,1187
1,745
1,1131
1,581
1,120
1,875
1,292
1,1148
1,478
1,715
